id;email;gender;age;click_rate;geo;device
1;1;2;75;0.0980850385188189;2;2
2;1;1;44;0.253145945000775;1;3
3;3;2;53;0.532703226438413;3;2
4;3;2;76;-1;-1;-1
5;2;1;46;0.18584533614092;1;2
6;4;2;58;0.152786310000468;3;2
7;4;1;52;0.0854289045163906;2;2
8;2;1;53;0.27876800421138;1;2
9;1;1;29;-1;-1;-1
10;1;1;46;0.100314243939701;5;1
11;3;2;57;-1;-1;-1
12;3;1;60;0.0515901825975606;1;3
13;1;2;43;0.00174918167528045;1;1
14;8;1;43;0.20829294696693;5;3
15;1;1;45;0.158897762400487;3;3
16;5;1;53;0.118833796667031;1;3
17;7;2;41;0.000923062137075708;6;2
18;5;2;50;-1;-1;-1
19;1;2;91;0.459037980268072;2;2
20;1;1;55;0.00310597935313313;3;1
21;6;2;51;0.00384609223781545;1;1
22;6;1;38;0.0838068367091174;3;3
23;5;1;61;0.150852306076411;2;3
24;1;1;46;-1;-1;-1
25;2;1;51;-1;-1;-1
26;1;2;46;0.227587940938197;4;1
27;4;1;61;0.0343934550650404;1;1
28;2;2;48;-1;-1;-1
29;1;1;47;0.156807002368901;1;1
30;3;1;66;0.000912073302110521;2;3
31;1;1;63;0.00244885434539263;5;1
32;1;2;61;0.203715080000624;1;3
33;7;2;69;0.000296954098361565;2;1
34;4;2;42;0.513107357751571;2;2
35;1;1;72;0.00159612827869341;3;1
36;1;2;42;0.372999442254663;4;3
37;2;2;76;0.0490425192594094;1;1
38;3;1;70;0.0496555507501521;4;1
39;1;2;62;0.00075111918997337;4;3
41;1;1;62;-1;-1;-1
42;4;2;53;0.11902454112396;2;3
43;4;1;79;0.0788183345240509;2;1
44;2;1;52;0.00215814527823335;1;3
45;5;2;55;0.165518502500507;1;2
46;2;2;65;0.441382673334685;2;2
47;1;1;67;0.00141878069217192;1;2
48;7;2;40;-1;-1;-1
50;1;1;41;0.000571747443114058;2;1
51;4;2;65;0.252218670476963;3;3
52;1;1;66;0.104538001579267;2;1
53;1;1;53;0.118833796667031;1;2
54;1;1;61;0.346800671905824;2;2
55;1;2;57;0.257950912987803;2;2
56;1;1;63;0.00151212152718323;5;2
57;6;1;48;0.127628724819668;5;1
58;2;1;68;0.0827592512502534;1;3
59;1;1;51;0.088276534666937;3;3
60;2;1;59;0.0859836376626009;2;1
61;1;1;70;0.141242455467099;5;3
62;1;1;48;0.186938544000572;2;2
63;2;2;39;0.0013144585824534;4;4
64;1;1;40;0.0838068367091174;2;3
65;1;1;64;0.147127557778228;4;1
66;2;1;50;0.00126113839304171;1;4
67;1;1;66;0.217897775443705;2;1
68;3;1;67;0.322962931708306;2;3
69;6;1;50;0.000319225655738682;2;1
70;1;1;49;0.104538001579267;3;3
71;1;1;66;0.567492008573166;1;3
72;4;1;49;0.045660276551864;1;3
73;5;1;55;0.0769853500002357;1;2
74;1;1;60;0.570119286390635;1;2
75;1;2;66;0.145333319268738;4;2
76;1;1;45;-1;-1;-1
77;1;2;45;0.2574732261119;3;2
78;1;1;39;-1;-1;-1
79;3;1;61;0.0441382673334685;2;2
80;1;1;54;-1;-1;-1
81;1;2;52;0.0706212277335496;1;1
82;3;1;55;0.088276534666937;1;3
83;3;2;70;0.0778910600002385;3;2
84;1;2;44;0.0827592512502534;1;1
85;3;2;39;0.0817375320990157;2;1
86;1;1;49;0.0401256975758804;4;1
87;1;2;62;0.236455003572153;4;2
88;1;1;58;0.00116082056632248;1;1
90;4;1;49;0.0662074010002027;6;3
91;2;2;49;0.217397436120069;4;2
92;4;1;63;-1;-1;-1
93;1;2;72;0.182641106207456;1;3
94;7;1;44;0.177629612439568;6;1
95;1;2;53;0.229518990134036;1;1
96;3;1;67;0.0326950128396063;2;2
97;1;2;41;0.149199776901865;6;1
98;1;2;65;0.0509287700001559;2;2
99;2;2;77;0.155782120000477;4;1
100;4;1;37;0.949389146418001;3;1
101;1;2;34;0.125257245135519;1;3
102;2;1;50;0.441382673334685;2;3
103;2;2;48;0.662074010002027;2;2
104;1;1;58;0.000773880377548321;6;1
105;6;2;54;0.0706212277335496;5;2
106;1;1;47;0.000323266486823982;3;1
107;1;1;32;0.12873661305595;1;3
108;4;1;54;0.0670454693672939;5;2
109;1;1;37;0.136309355000417;2;2
110;2;1;62;0.570119286390635;2;4
111;6;2;41;0.00077859916033825;4;2
112;3;2;25;0.192603348364226;1;2
113;3;2;60;0.0810702869390238;3;3
114;2;1;46;0.196170077037638;4;1
115;4;1;74;-1;-1;-1
116;2;2;65;0.0715755686488678;2;1
117;1;1;67;-1;-1;-1
118;1;1;72;0.000491116393444127;1;3
119;1;1;49;0.163251125753925;5;3
120;1;1;55;0.0331037005001014;4;3
121;5;2;72;0.0467346360001431;5;1
122;1;2;62;0.00102152209836378;1;1
